Age,Date,Tm,Home,Opp,Win,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
33-342,2018-12-07,LAL,A,SAS,L,1,37,13,28,.464,10,20,.500,3,8,.375,6,9,.667,2,6,8,11,2,0,1,4,35,29.7
33-343,2018-12-08,LAL,A,MEM,W,1,32,9,18,.500,9,15,.600,0,3,.000,2,3,.667,1,7,8,9,2,0,5,2,20,15.9
33-345,2018-12-10,LAL,H,MIA,W,1,38,10,19,.526,6,12,.500,4,7,.571,4,8,.500,0,9,9,12,1,0,2,0,28,27.2
33-348,2018-12-13,LAL,A,HOU,L,1,36,12,18,.667,9,12,.750,3,6,.500,2,6,.333,0,5,5,4,2,0,3,1,29,22.5
33-350,2018-12-15,LAL,A,CHO,W,1,30,7,15,.467,5,9,.556,2,6,.333,8,12,.667,1,11,12,11,1,0,3,0,24,24.4
33-351,2018-12-16,LAL,A,WAS,L,1,32,5,16,.313,5,14,.357,0,2,.000,3,6,.500,0,6,6,3,0,1,4,0,13,3.2
33-353,2018-12-18,LAL,A,BRK,L,1,41,13,23,.565,11,16,.688,2,7,.286,8,13,.615,1,12,13,8,1,1,5,1,36,29.3
33-356,2018-12-21,LAL,H,NOP,W,1,39,8,20,.400,8,16,.500,0,4,.000,6,9,.667,2,10,12,14,2,0,2,3,22,23.0
33-358,2018-12-23,LAL,H,MEM,L,1,36,8,14,.571,6,9,.667,2,5,.400,4,4,1.000,1,13,14,7,1,1,4,0,22,22.6
33-360,2018-12-25,LAL,A,GSW,W,1,21,6,11,.545,6,9,.667,0,2,.000,5,8,.625,2,11,13,5,1,0,2,1,17,17.3
34-032,2019-01-31,LAL,A,LAC,W,1,40,9,22,.409,8,16,.500,1,6,.167,5,7,.714,1,13,14,9,1,0,4,0,24,19.3
34-037,2019-02-05,LAL,A,IND,L,1,30,7,12,.583,5,7,.714,2,5,.400,2,3,.667,0,7,7,9,1,0,6,1,18,15.0
34-039,2019-02-07,LAL,A,BOS,W,1,38,11,21,.524,6,11,.545,5,10,.500,1,5,.200,2,10,12,12,3,0,3,4,28,27.3
34-042,2019-02-10,LAL,A,PHI,L,1,33,8,16,.500,6,10,.600,2,6,.333,0,0,,0,10,10,9,0,0,4,3,18,14.1
34-044,2019-02-12,LAL,A,ATL,L,1,43,8,20,.400,5,10,.500,3,10,.300,9,11,.818,2,9,11,16,3,1,2,3,28,32.2
34-053,2019-02-21,LAL,H,HOU,W,1,40,11,23,.478,11,19,.579,0,4,.000,7,10,.700,4,8,12,6,1,1,4,1,29,22.8
